theta0,theta1,value
10.0,-3.5,-25.31021516813546
-10.0,-3.0,-25.30365880255504
-9.5,-3.0,-25.30365880255504
-9.0,-3.0,-25.30365880255504
-8.5,-3.0,-25.30365880255504
-8.0,-3.0,-25.30365880255504
-7.5,-3.0,-25.30365880255504
-7.0,-3.0,-25.30365880255504
-6.5,-3.0,-25.30365880255504
-6.0,-3.0,-25.30365880255504
-5.5,-3.0,-25.30365880255504
-5.0,-3.0,-25.30365880255504
-4.5,-3.0,-25.30365880255504
-4.0,-3.0,-25.30365880255504
-3.5,-3.0,-25.30365880255504
-3.0,-3.0,-25.30365880255504
-2.5,-3.0,-25.30365880255504
-2.0,-3.0,-25.30365880255504
-1.5,-3.0,-25.30365880255504
-1.0,-3.0,-25.30365880255504
-0.5,-3.0,-25.30365880255504
0.0,-3.0,-25.30365880255504
0.5,-3.0,-25.30365880255504
1.0,-3.0,-25.30365880255504
1.5,-3.0,-25.30365880255504
2.0,-3.0,-25.30365880255504
2.5,-3.0,-25.30365880255504
3.0,-3.0,-25.30365880255504
3.5,-3.0,-25.30365880255504
4.0,-3.0,-25.30365880255504
4.5,-3.0,-25.30365880255504
5.0,-3.0,-25.30365880255504
5.5,-3.0,-25.30365880255504
6.0,-3.0,-25.30365880255504
6.5,-3.0,-25.30365880255504
7.0,-3.0,-25.30365880255504
7.5,-3.0,-25.30365880255504
8.0,-3.0,-25.30365880255504
8.5,-3.0,-25.30365880255504
9.0,-3.0,-25.30365880255504
9.5,-3.0,-25.30365880255504
10.0,-3.0,-25.30365880255504
-10.0,-2.5,-25.29312568633443
-9.5,-2.5,-25.29312568633443
-9.0,-2.5,-25.29312568633443
-8.5,-2.5,-25.29312568633443
-8.0,-2.5,-25.29312568633443
-7.5,-2.5,-25.29312568633443
-7.0,-2.5,-25.29312568633443
-6.5,-2.5,-25.29312568633443
-6.0,-2.5,-25.29312568633443
-5.5,-2.5,-25.29312568633443
-5.0,-2.5,-25.29312568633443
-4.5,-2.5,-25.29312568633443
-4.0,-2.5,-25.29312568633443
-3.5,-2.5,-25.29312568633443
-3.0,-2.5,-25.29312568633443
-2.5,-2.5,-25.29312568633443
-2.0,-2.5,-25.29312568633443
-1.5,-2.5,-25.29312568633443
-1.0,-2.5,-25.29312568633443
-0.5,-2.5,-25.29312568633443
0.0,-2.5,-25.29312568633443
0.5,-2.5,-25.29312568633443
1.0,-2.5,-25.29312568633443
1.5,-2.5,-25.29312568633443
2.0,-2.5,-25.29312568633443
2.5,-2.5,-25.29312568633443
3.0,-2.5,-25.29312568633443
3.5,-2.5,-25.29312568633443
4.0,-2.5,-25.29312568633443
4.5,-2.5,-25.29312568633443
5.0,-2.5,-25.29312568633443
5.5,-2.5,-25.29312568633443
6.0,-2.5,-25.29312568633443
6.5,-2.5,-25.29312568633443
7.0,-2.5,-25.29312568633443
7.5,-2.5,-25.29312568633443
8.0,-2.5,-25.29312568633443
8.5,-2.5,-25.29312568633443
9.0,-2.5,-25.29312568633443
9.5,-2.5,-25.29312568633443
10.0,-2.5,-25.29312568633443
-10.0,-2.0,-25.276473167114126
-9.5,-2.0,-25.276473167114126
