method_name,seed,tuning_samples,learning_samples,total_samples
discounted_vanilla_proper,139,53337,344,53681
discounted_vanilla_proper,140,53337,736,54073
discounted_vanilla_proper,141,53337,424,53761
discounted_vanilla_popular,42,4251200,38400,4289600
discounted_vanilla_popular,43,4251200,40000,4291200
discounted_vanilla_popular,44,4251200,27200,4278400
discounted_vanilla_popular,45,4251200,38400,4289600
discounted_vanilla_popular,46,4251200,33600,4284800
discounted_vanilla_popular,47,4251200,32000,4283200
discounted_vanilla_popular,48,4251200,28800,4280000
discounted_vanilla_popular,49,4251200,27200,4278400
discounted_vanilla_popular,50,4251200,41600,4292800
discounted_vanilla_popular,51,4251200,40000,4291200
discounted_vanilla_popular,52,4251200,32000,4283200
discounted_vanilla_popular,53,4251200,38400,4289600
discounted_vanilla_popular,54,4251200,40000,4291200
discounted_vanilla_popular,55,4251200,33600,4284800
discounted_vanilla_popular,56,4251200,36800,4288000
discounted_vanilla_popular,57,4251200,43200,4294400
